Element,Description,Quantity,Total USD
Structure,"Steel re-plumb, re-bolt, member replacement",2,680000
Envelope,IMP wall panel replacement,4400,540000
Envelope,"TPO membrane, cover board, insulation, fasteners",9200,820000
Interior,"Water damage, slab and raised floor pedestals",1,210000
Mechanical,Chilled water spools and pipe rack,180,165000
Materials,"Staged tray, busway and raised floor under canopy",1,290000
Temporary,"Fence, canopy, light towers, trailer skirting",1,140000
Mitigation,"Weather protection, dehumidification, shoring",1,260000
Electrical,"MV-SWGR-1 field clean, dry, test, re-certify",1,340000
Electrical,MV-SWGR-2 factory re-manufacture,1,2900000
Total works damage,,,6345000
