Category,Item,Quantity,Total USD
Stolen,Copper branch circuit wire cut from conduit,3100,74000
Stolen,"THHN copper wire reels, unpulled",22,58000
Stolen,Type L copper water tube,900,41000
Stolen,Plumbing fixtures and trim sets,46,33000
Stolen,Electrical panelboards,8,47000
Damage,"Conduit and boxes, Levels 2 and 3",140,88000
Damage,Drywall opened to reach concealed runs,60,36000
Damage,"Doors and frames, closets and store",3,9400
Damage,Perimeter fence fabric and gate chain,1,4200
Damage,Site cameras,2,3800
Total theft and damage,,,394400
