pack,title,line_of_business,policy_number_mentioned,mentioned_policy_number,broker_reference,expected_matched_policy_number,match_confidence,insured_name,claimant,date_of_loss,loss_location,cause_of_loss,estimated_loss,broker_domain,reasoning,exercises
harborline-ammonia-release,Harborline Cold Storage — ammonia release and product loss,Commercial property,Yes,CP-4471-88210,TR/PROP/2025/4471,CP-4471-88210,Exact,"Harborline Cold Storage & Logistics, LLC","Harborline Cold Storage & Logistics, LLC",10 January 2026,"2870 Patapsco Industrial Parkway, Baltimore, MD 21226",Ammonia release — weld failure on a liquid ammonia header,"USD 3,700,000",talbotrennick.example,"The policy number is stated and every corroborating axis agrees: insured name, the loss address is scheduled Location 001, the broker reference is the one on the policy, and the sender domain is the policy's broker domain. This is the control case — if this does not match, nothing will.","**Every signal firing at once.** Policy number, broker reference, insured name, risk location, broker domain and policy period all agree. The ladder should reach `exact` on the number alone and be corroborated on five further axes. | **Bailee exposure.** Most of the product is customer-owned, so the value at risk sits under the personal-property-of-others limit rather than the insured's own stock. | **A figure stated twice.** USD 3,700,000 appears in the covering email and on the loss notice; the product schedule totals separately. A citation naming the right document is doing real work."
windrow-grove-hail,Windrow Grove Apartments — hail and straight-line wind,Commercial property,Yes,CP-7735-19042,KRP/HAB/2025/7735,CP-7735-19042,Exact,"Sundale Property Group, LLC","Windrow Grove Apartments, LP",19 April 2026,"6120 East 91st Street, Tulsa, OK 74137",Hail and straight-line wind,"USD 2,400,000",kettleridgerisk.example,"Policy number stated and corroborated by the insured, the additional named insured as claimant, the scheduled Location 001 address, the broker reference and the broker's sender domain.","**Claimant is not the named insured.** The notice names Sundale Property Group as insured and Windrow Grove Apartments, LP as claimant. Both are on the policy — the second as insured organisation — so `insured_name` must compare against joint names. | **A coverage argument that is not an identity signal.** The cosmetic damage dispute belongs in warnings, not in the score. | **Per-location excess.** The candidate card should show Location 001's deductible, not the policy headline."
fairmount-dye-house-fire,Fairmount Textile Mills — dye house fire,Commercial property,Yes,CP-2210-55870,RK/MFG/2024/2210,CP-2210-55870,Exact,"Fairmount Textile Mills Holdings, Inc.","Piedmont Dye & Finish, LLC",13 August 2025,"1180 Woodruff Industrial Road, Greenville, SC 29607",Fire — hydraulic fluid release onto a hot thermal oil line,"USD 30,500,000",ridgewaykessler.example,"Policy number stated, with the insured, the additional named insured as claimant, scheduled Location 001, the broker reference and the wholesale broker's sender domain all agreeing.","**A subsidiary as claimant.** Piedmont Dye & Finish, LLC is an additional named insured, not the first named insured — `insured_name` must match against joint names. | **A warranty breach that is not a matching signal.** The lint log gap is a coverage defence recorded in the engineer's report; it must not move the rank. | **Quantum split across documents.** The stock schedule totals separately from the engineer's reinstatement figures, and the email states a third, higher number."
kestrel-ridge-copper-theft,Kestrel Ridge Retail Center — copper theft and consequent water damage,Commercial property,No,,HV/RET/2025/9083,CP-9083-64115,Strong,"Kestrel Ridge Holdings, LP","Kestrel Ridge Holdings, LP",2 March 2026,"4820 - 4890 North Eagle Ridge Boulevard, Boise, ID 83713","Theft of copper, and water damage consequent on a cut live water line","USD 425,000",hvagency.example,"No policy number is stated. The broker reference `HV/RET/2025/9083`, the property address matching scheduled Location 001, the named insured, the managing agent who is the scheduled additional insured, and the sender domain `hvagency.example` resolve to one policy with no competing candidate in the book.","**Identification without a policy number.** The heaviest signal is absent, so the match has to be carried by broker reference at 2.5 and insured name at 2.0, corroborated across the risk, broker and cover axes. | **The broker reference doing the work.** This is the case the `broker_reference` signal exists for — the broker's own scheme reference is the only hard identifier present. | **Reporter is not the insured.** The reporter is the broker; the managing agent is the site contact; the insured is a Delaware LP that never appears as a sender."
rivergate-dropped-load,Rivergate Commons Phase II — dropped load during a crane pick,Construction — builder's risk,Yes,BR-3358-20471,AV/BR/2025/3358,BR-3358-20471,Exact,"Rivergate Development Partners, LLC","Vanterra Construction Group, LLC",26 February 2026,"2650 Rivergate Parkway, Charlotte, NC 28273",Dropped load — wind gust during a crane pick,"USD 407,200",ashcombevail.example,"Policy number stated, and corroborated by the project name and contract number, the site address, both named insureds appearing as insured and claimant, the broker reference and the sender domain.","**Construction identity signals.** `project_name` at 1.6 and `contract_number` at 2.2 both fire and both agree, which on a construction risk is stronger evidence than the insured name. | **The insured is not the contractor.** The owner is the first named insured and Vanterra is the contractor and the claimant; both are on the policy. | **Ruling the other policy out in the notice.** The email states there is no third-party element, which is what keeps this off the contractor's CGL — the discriminator pack 17 makes the matcher work out for itself."
northfield-water-intrusion,Northfield Senior Living — water intrusion into an undried structure,Construction — builder's risk,No,,KRP/CAR/2025/6612,BR-6612-77309,Strong,"Sundale Property Group, LLC","Halcyon Builders, LLC",18 October 2025,"1725 Northfield Commons Drive, Madison, WI 53704",Water intrusion — wind-driven rain into an incomplete structure,"USD 915,000",kettleridgerisk.example,"No policy number. The broker reference `KRP/CAR/2025/6612`, the project name and contract number, the site address, both owner entities and the general contractor all match one construction policy. Sundale's other policy is a Tulsa habitational property risk that cannot answer a Wisconsin construction loss.","**One insured, two policies, different lines.** Sundale Property Group is the first named insured on both `CP-7735-19042` and `BR-6612-77309`. `line_of_business` and `project_name` are what separate them. | **Project identity over insured identity.** The project name and contract number resolve the risk more reliably than the insured, which is the case the construction signals exist for. | **Reporter, insured and contractor are three different parties**, on three different domains, none of which is the carrier."
cypress-landing-copper-theft,Cypress Landing Data Hall B — copper theft from the works,Construction — builder's risk,Yes,IM-2298-66401,SRR/BR/2025/1147,BR-1147-30926,Possible,"Meridian Grid Holdings, LLC","Ironbark Constructors, Inc.",11 April 2026,"14900 South Cypress Landing Way, Mesa, AZ 85212",Theft — copper stripped from the works,"USD 1,318,100",sonoranridgerisk.example,"The notice quotes `IM-2298-66401`, which is a **real policy for the same corporate group but the wrong one for this loss**. The `policy_number` signal will find that policy and score it — and every other signal contradicts it: the project name, the contract number, the site address, the broker reference and the owner as insured all belong to `BR-1147-30926`. A correct answer overrides the stated number on the weight of the other eleven signals.","**The heaviest signal pointing at the wrong answer.** `policy_number` carries 5.0 and resolves cleanly to the equipment floater. Everything else — project, contract, site, broker reference, insured — points at the builder's risk. This is the case that tests whether the ladder reads *which axes* agreed rather than only the total. | **A defensible split.** USD 54,100 genuinely does belong on `IM-2298-66401`, so a two-policy allocation is a better answer than either policy alone. | **A warning that is not a rank.** The guard patrol gap is a warranty question and must not lower the builder's risk candidate below the equipment floater."
sable-creek-falling-brick,"Sable Creek Medical Office Building — falling brick, third-party injury",Liability — commercial general liability,Yes,GL-5529-41836,AV/GL/2025/5529,GL-5529-41836,Exact,"Vanterra Construction Group, LLC",Rosalind Achterberg-Nwankwo,17 March 2026,"4405 Sable Creek Drive, Fort Mill, SC 29715",Falling brick — banding failure during a telehandler unload,"USD 663,000",ashcombevail.example,"Policy number stated, with the insured, the designated project P-3 on the policy's own schedule, the broker reference and the sender domain all agreeing. The loss type is third-party bodily injury and property damage, which is the liability policy and not the insured's builder's risk.","**Line of business as a discriminator.** Vanterra is a named insured on a builder's risk too. This loss is `liability`; that one is `construction`. | **Claimant is a third party, not the insured.** `claimant_name` is a member of the public and must not be read as the insured. | **A scheduled project on a liability policy.** P-3 appears on the GL's location schedule, so `risk_location` corroborates on an axis a property-only reading would miss."
cherry-creek-water-damage,Cherry Creek Medical Campus — escape of water from a new chilled water riser,Liability — commercial general liability,No,,FRC/GL/2025/8804,GL-8804-27153,Possible,"Beacon Mechanical Services, Inc.","Cherry Creek Medical Campus Owner, LLC",7 February 2026,"3400 South Cherry Creek Drive North, Denver, CO 80209",Escape of water — grooved coupling separation on a newly installed riser,"USD 590,000",frcig.example,"No policy number and the insured holds two policies with the same carrier, the same broker and the same broker domain. The discriminators are the loss type — four fifths is third-party damage to an occupied building, which is liability — and the fact that the building owner is a scheduled additional insured on the liability policy for this very project. The `FRC/GL/…` broker reference points the same way.","**Two policies, one insured, one carrier, one broker.** Insured name, insured domain, broker name and broker domain are all identical across both candidates and therefore discriminate nothing. Only line of business and the broker reference separate them. | **A split allocation is the right answer.** The schedule states which head belongs on which policy, so a matcher that returns one policy and ignores the other is only four-fifths right. | **A condition that changes the retention, not the rank.** The water damage control condition is a warning."
driver-middle-school-open-roof,Driver Middle School — rain into an open roof during a re-roof,Liability — commercial general liability,Yes,GL-3376-90284,CB/ROOF/2024/3376,GL-3376-90284,Exact,"Tidewater Roofing & Exteriors, LLC",Suffolk City Public Schools,18 June 2025,"4652 Driver Lane, Suffolk, VA 23435",Water damage — rain into a roof left open during tear-off,"USD 510,000",coastlinebrantley.example,"Policy number stated, corroborated by the insured, the school and division which are scheduled certificate holders on this policy, the contract number, the broker reference and the sender domain.","**A named certificate holder as the risk location.** The loss is at a third party's premises, not the insured's yard, so `risk_location` must reach the certificate holder schedule rather than the insured's own address. | **Conditions precedent evidenced rather than asserted.** The consultant's report addresses each limb of the open roof condition on documents. | **A head of loss expressly not claimed.** Liquidated damages are named and disclaimed."
