Building,Element,Quantity,Unit,Total USD
03,Composition shingle roof replacement,27400,sq ft,214000
04,Composition shingle roof replacement,27400,sq ft,214000
05,Roof replacement including decking,27400,sq ft,242000
06,Composition shingle roof replacement,27400,sq ft,214000
08,Composition shingle roof replacement,27400,sq ft,214000
11,Composition shingle roof replacement,27400,sq ft,186000
05,"Interior reinstatement, four units",4,units,268000
13,Clubhouse skylight and flooring,1,item,96000
15,Carport structures,9,bays,142000
Site,"HVAC condensers, siding, signage, lighting",1,lot,196000
,Total reinstatement,,,1986000
