Section,Item,Quantity,Total USD
Equipment,Ridgid 1224 threading machine with die set,1,18500
Equipment,Ridgid 918-I hydraulic roll groover,1,14200
Equipment,Ridgid RP 351 press tools with jaw sets,2,16800
Equipment,"Cordless kits, band saws, hammers, core drills",11,12400
Equipment,Fluke thermal imagers and balancing hood,3,9500
Equipment,Miller engine drive welder,1,11200
Installation,"Type L copper, 2 in, 2.5 in and 4 in",1400,61200
Installation,Press fittings and brass valves,2,18400
Installation,Pre-insulated copper,600,17200
Installation,"Trane 5-ton condensing units, taken",4,27600
Installation,"Trane condensing units, fin coil damage",2,9400
Equipment,"Trailer door, hasp, conex bar, temporary power",1,7900
Total taken and damaged,,,224300
