Unit or element,Condition,Basis,Total USD
K-206,"Total loss, unit of origin",Reinstatement,182000
K-306,Total loss,Reinstatement,182000
K-106,"Ceiling collapse, heavy water",Reinstatement,96000
"K-205, K-207, K-305, K-307",Fire extension and overhaul,Reinstatement,348000
"K-105, K-107",Suppression water,Reinstatement,112000
Remaining 15 units,Smoke and de-energisation,Reinstatement,420000
Roof structure,"2,600 sq ft trusses, decking, covering",Reinstatement,386000
Exterior,"Brick spalling, soffit and fascia, 90 lin ft",Reinstatement,64000
Building L,"Radiant heat, siding and four windows",Reinstatement,48000
Contents and relocation,Tenant relocation and landlord contents,Policy heads,422000
Total indicated,,,2260000
