Unit or element,Condition,Basis,Total USD
2-301,"Uninhabitable, ceiling, walls, flooring, cabinets",Reinstatement,96000
2-201,"Uninhabitable, ceiling collapse, flooring, cabinets",Reinstatement,112000
2-101,"Uninhabitable, 2 in standing water throughout",Reinstatement,134000
"2-302, 2-202, 2-102","Moderate, demising walls and flooring",Reinstatement,78000
"2-303, 2-203, 2-103","Minor, chase wall staining",Reinstatement,18000
Storage lockers,"Twelve flooded, owner contents in nine",Owner property,34000
Common elements,"Chase, corridors, stairwell, sub-panel",Reinstatement,77000
Riser,Repair and chase reinstatement,Reinstatement,46000
Mitigation,"Extraction, drying, containment",Invoice,108000
Total association claim,,,703000
