Category,Item,Belongs on,Total USD
Permanent works,"Copper feeder cable, 4,800 lin ft",Builder's risk,612000
Permanent works,"Ground ring conductor, 1,100 lin ft",Builder's risk,148000
Permanent works,"Copper busway, 16 sections",Builder's risk,224000
Permanent works,"UPS module cabinets, two off",Builder's risk,186000
Permanent works,"Duct bank, handholes, re-pull",Builder's risk,94000
Contractors equipment,Engine drive welder,Equipment floater,9400
Contractors equipment,"Hand tools, crimpers, grips",Equipment floater,31600
Contractors equipment,Trailer T-4 door and hasp,Equipment floater,1800
Temporary works,"Perimeter fence, 220 lin ft",Equipment floater,6400
Temporary works,"Site cameras, two off",Equipment floater,4900
Total loss,,,1318100
