Element,Description,Quantity,Total USD
Storefront,Aluminium framing and glazing panels,34,68000
Storefront,Automatic sliding door assemblies,2,28000
Structural,Bearing mullion and canopy connection repair,1,96000
Structural,"Engineering, inspection and certification",1,22000
Site,"Bollards, striping, wheel stops, light standards",1,34000
Interior,"Vestibule floor, ceiling, lighting, walls",1,62000
Fire,"Sprinkler head, pull station, two horn/strobes",1,19000
Interior,"Water damage to sales floor, 900 sq ft",900,27000
Signage,Sign band and fascia substrate,60,16000
Total landlord reinstatement,,,372000
