Area,Trade,Description,Total USD
C-104 to C-111,Building,"Ceiling grid and tile, eight rooms",96000
C-104 to C-111,Building,VCT flooring and drywall,112000
C-104 to C-111,Joinery,"Casework, three rooms",60000
Media centre,Building,"Carpet and ceiling, 2,400 sq ft",38000
Media centre,Contents,"1,850 volumes, 900 unsalvageable",42000
Media centre,IT,"Two carts, 28 devices",19000
Corridor C,Building,Ceiling tile and four troffers,18000
C-wing,Electrical,"Two lighting panels, megger and recommission",36000
C-wing,Fire alarm,Eight detectors and 36-hour fire watch,38000
All,Mitigation,"Extraction, drying, dehumidification",88000
Total reinstatement,,,547000
